gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
4918923630				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN509-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN509-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001230	2016-06-14	2016-06-14T16:00:00.000Z	166	166	2016	6	14		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.664	-83.524												GeoXH 6000																								Robert Davidson					morphology									Harpalus Latreille, 1802								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Harpalus	Harpalus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:08:42.024Z	545.83	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	1035821	1035821	1	54	216	1470	3792	1035821				Harpalus Latreille, 1802			DWC_ARCHIVE	2025-05-08T17:08:42.024Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918871120				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN502-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN502-18			National Ecological Observatory Network, United States					Male	Adult									PRESENT		Vouchered:Registered Collection						immature														NEON.BET.D07.001178	2016-05-17	2016-05-17T16:00:00.000Z	138	138	2016	5	17		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.664	-83.524												GeoXH 6000																								Robert Davidson					morphology									Trichotichnus A.Morawitz, 1863								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Trichotichnus	Trichotichnus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:07:11.275Z	545.83	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	1035059	1035059	1	54	216	1470	3792	1035059				Trichotichnus A.Morawitz, 1863			DWC_ARCHIVE	2025-05-08T17:07:11.275Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918852108				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN553-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN553-18			National Ecological Observatory Network, United States					Male	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001472	2016-09-20	2016-09-20T16:00:00.000Z	264	264	2016	9	20		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.679	-83.482												GeoXH 6000																								Robert Davidson					morphology									Dicaelus Bonelli, 1813								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Dicaelus	Dicaelus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:09:04.769Z	785.62	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	1037645	1037645	1	54	216	1470	3792	1037645				Dicaelus Bonelli, 1813			DWC_ARCHIVE	2025-05-08T17:09:04.769Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918841215				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN559-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN559-18			National Ecological Observatory Network, United States					Male	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001491	2016-10-04	2016-10-04T16:00:00.000Z	278	278	2016	10	4		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.679	-83.482												GeoXH 6000																								Robert Davidson					morphology									Gastrellarius Casey, 1918								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Gastrellarius	Gastrellarius						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:07:11.279Z	785.62	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	4749176	4749176	1	54	216	1470	3792	4749176				Gastrellarius Casey, 1918			DWC_ARCHIVE	2025-05-08T17:07:11.279Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918809791				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN548-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN548-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001462	2016-09-20	2016-09-20T16:00:00.000Z	264	264	2016	9	20		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.671	-83.482												Geo 7X (H-Star)																								Robert Davidson					morphology									Pasimachus Bonelli, 1813								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Pasimachus	Pasimachus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:09:33.890Z	894.27	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	1037088	1037088	1	54	216	1470	3792	1037088				Pasimachus Bonelli, 1813			DWC_ARCHIVE	2025-05-08T17:09:33.890Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918809790				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN519-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN519-18			National Ecological Observatory Network, United States					Male	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001314	2016-07-26	2016-07-26T16:00:00.000Z	208	208	2016	7	26		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.671	-83.482												Geo 7X (H-Star)																								Robert Davidson					morphology									Cyclotrachelus Chaudoir, 1838								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Cyclotrachelus	Cyclotrachelus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:09:17.583Z	894.27	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	5431138	5431138	1	54	216	1470	3792	5431138				Cyclotrachelus Chaudoir, 1838			DWC_ARCHIVE	2025-05-08T17:09:17.583Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4918735490				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN550-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN550-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001468	2016-09-20	2016-09-20T16:00:00.000Z	264	264	2016	9	20		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.679	-83.482												GeoXH 6000																								Robert Davidson					morphology									Pterostichus Bonelli, 1810								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Pterostichus	Pterostichus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:07:11.268Z	785.62	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	7367006	7367006	1	54	216	1470	3792	7367006				Pterostichus Bonelli, 1810			DWC_ARCHIVE	2025-05-08T17:07:11.268Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			NE
4918731534				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN518-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN518-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001312	2016-07-26	2016-07-26T16:00:00.000Z	208	208	2016	7	26		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.671	-83.482												Geo 7X (H-Star)																								Robert Davidson					morphology									Dicaelus Bonelli, 1813								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Dicaelus	Dicaelus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:07:11.248Z	894.27	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	1037645	1037645	1	54	216	1470	3792	1037645				Dicaelus Bonelli, 1813			DWC_ARCHIVE	2025-05-08T17:07:11.248Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			
4916199094				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN562-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN562-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001500	2016-10-04	2016-10-04T16:00:00.000Z	278	278	2016	10	4		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.664	-83.524												GeoXH 6000																								Robert Davidson					morphology									Pterostichus Bonelli, 1810								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Pterostichus	Pterostichus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:08:17.290Z	545.83	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	7367006	7367006	1	54	216	1470	3792	7367006				Pterostichus Bonelli, 1810			DWC_ARCHIVE	2025-05-08T17:08:17.290Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			NE
4916199093				CC_BY_4_0			https://boldsystems.org/index.php/Public_RecordView?processid=BETN533-18						Canadian Centre for DNA Barcoding				MATERIAL_SAMPLE				BETN533-18			National Ecological Observatory Network, United States					Female	Adult									PRESENT		Vouchered:Registered Collection																				NEON.BET.D07.001414	2016-09-06	2016-09-06T16:00:00.000Z	250	250	2016	9	6		deciduousForest										NORTH_AMERICA				US	Tennessee			Great Smoky Mountains National Park NEON									35.685	-83.532												GeoXH 6000																								Robert Davidson					morphology									Pterostichus Bonelli, 1810								Animalia	Arthropoda	Insecta	Coleoptera		Carabidae				Pterostichus	Pterostichus						GENUS				ACCEPTED			040c5662-da76-4782-a48e-cdea1892d14c	ZZ	2025-05-08T17:08:46Z	464.49	0.0				GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE		true	false	7367006	7367006	1	54	216	1470	3792	7367006				Pterostichus Bonelli, 1810			DWC_ARCHIVE	2025-05-08T17:08:46Z	2025-05-08T16:15:51.182Z	true			false	NORTH_AMERICA		USA	United States	USA.43_1	Tennessee	USA.43.78_1	Sevier			NE
